T (C),I (A)
61.5,0.121
60.8,0.121
60,0.122
59.7,0.124
59.2,0.124
58.8,0.124
57.9,0.125
57.5,0.125
57.1,0.127
56.6,0.127
56.3,0.127
55.7,0.128
55.4,0.128
55,0.128
54.8,0.128
54.6,0.13
54.3,0.13
54,0.13
53.8,0.13
53.6,0.131
53.2,0.131
52.8,0.131
52.4,0.131
52,0.133
51.7,0.133
51.3,0.134
51,0.136
50.7,0.136
50.5,0.136
50.2,0.136
49.9,0.136
49.8,0.137
49.5,0.137
49.3,0.137
48.9,0.139
48.5,0.139
48.2,0.14
47.9,0.14
47.8,0.141
47.6,0.142
47.3,0.142
47.1,0.142
47,0.143
46.9,0.143
46.8,0.143
46.6,0.144
46.5,0.145
46,0.145
45.8,0.146
45.7,0.146
45.6,0.146
45.4,0.146
45.3,0.148
45,0.148
44.8,0.148
44.7,0.149
44.4,0.149
44.1,0.15
44,0.151
43.8,0.151
43.5,0.151
43.4,0.152
42.6,0.154
42.5,0.154
41.9,0.155
41.6,0.155
41.5,0.155
41.2,0.157
41.1,0.157
41,0.157
